split,balance,N,classifier,subject,eer,far_at_frr,frr_at_far
session,fixed,10,k-NN,s002,0.381422542579421,1.0,0.842
session,fixed,10,k-NN,s003,0.07143243580600643,0.5064000000000001,0.876
session,fixed,10,k-NN,s004,0.07579516189508287,1.0,0.43200000000000005
session,fixed,10,k-NN,s005,0.06303287103287103,0.4824,0.806
session,fixed,10,k-NN,s007,0.12093380942006556,0.916,0.8039999999999999
session,fixed,10,k-NN,s008,0.11206730821684951,0.9016,0.8459999999999999
session,fixed,10,k-NN,s010,0.055576971210671476,0.732,0.8220000000000001
session,fixed,10,k-NN,s011,0.05803971433127627,1.0,0.45999999999999996
session,fixed,10,k-NN,s012,0.07040107992934654,0.8248000000000001,0.836
session,fixed,10,k-NN,s013,0.12904785192488977,1.0,0.8200000000000001
session,fixed,10,k-NN,s015,0.22494726969936743,1.0,0.9219999999999999
session,fixed,10,k-NN,s016,0.41539282852926096,1.0,0.8940000000000001
session,fixed,10,k-NN,s017,0.034597751322751336,1.0,0.4
session,fixed,10,k-NN,s018,0.15020625438313884,1.0,0.908
session,fixed,10,k-NN,s019,0.04496768775992808,1.0,0.094
session,fixed,10,k-NN,s020,0.20376267599075693,1.0,0.908
session,fixed,10,k-NN,s021,0.19641852325445006,1.0,0.8859999999999999
session,fixed,10,k-NN,s022,0.11116501951522473,0.6136,0.61
session,fixed,10,k-NN,s024,0.06572670914017303,0.64,0.5359999999999999
session,fixed,10,k-NN,s025,0.04999482634257201,1.0,0.492
session,fixed,10,k-NN,s026,0.14346940054166163,0.9199999999999999,0.9560000000000001
session,fixed,10,k-NN,s027,0.07866412877670483,1.0,0.602
session,fixed,10,k-NN,s028,0.08736637740399131,0.8328,0.43200000000000005
session,fixed,10,k-NN,s029,0.13005676633078206,1.0,0.8640000000000001
session,fixed,10,k-NN,s030,0.037593822843822865,0.8352,0.13999999999999999
session,fixed,10,k-NN,s031,0.346741988023442,1.0,0.968
session,fixed,10,k-NN,s032,0.317424484575037,1.0,0.974
session,fixed,10,k-NN,s033,0.15979162398140212,1.0,0.434
session,fixed,10,k-NN,s034,0.2000088076947181,1.0,0.8939999999999999
session,fixed,10,k-NN,s035,0.27734027450844806,0.8824,0.874
session,fixed,10,k-NN,s036,0.022536694677871165,0.404,0.03200000000000003
session,fixed,10,k-NN,s037,0.31219109070924206,1.0,0.95
session,fixed,10,k-NN,s038,0.08884801266291947,1.0,0.404
session,fixed,10,k-NN,s039,0.07368922370293698,1.0,0.356
