A,B,N,n_subjects,delta_EER_pp,paired_t_p,wilcoxon_p,cohen_dz,holm_p
k-NN,LDA,200,51,0.019376978067893853,0.9700503672042747,0.8147236184718414,0.005283756437672392,0.9700503672042747
k-NN,Linear SVM,200,51,0.4334946251267185,0.3643159082152277,0.5931425620228769,0.12819770643496448,0.7286318164304554
LDA,Linear SVM,200,51,0.4141176470588247,0.003830859719551844,0.007040635234516659,0.42473164607296987,0.022985158317311065
k-NN,MLP,200,51,-1.2402308650693599,0.005210735485380968,0.00843993595514891,-0.4091470134999374,0.026053677426904842
LDA,MLP,200,51,-1.2596078431372535,0.0065339793091438395,0.008283019387813005,-0.397469968243798,0.026135917236575358
Linear SVM,MLP,200,51,-1.6737254901960787,4.444096004649371e-05,2.129221883832296e-05,-0.6264606156669652,0.00031108672032545594
k-NN,MLP,10,51,-12.524865514532546,7.858873824425096e-09,1.3112845313988766e-07,-0.9697126931591051,7.072986441982585e-08
LDA,MLP,10,51,-15.029803921568629,4.435993793563103e-13,9.86987564219973e-10,-1.3582629066765772,4.435993793563103e-12
Linear SVM,MLP,10,51,-16.147450980392154,4.283418774382121e-14,6.526964088358431e-10,-1.4557138511516672,4.711760651820333e-13
k-NN,LDA,10,51,2.5049384070360814,0.01049308363654145,0.02695711869847325,0.37237244096092453,0.03147925090962435
LDA,Linear SVM,10,51,1.1176470588235299,4.226895375448303e-07,9.626462131698946e-07,0.8143601681577658,3.381516300358642e-06
