split,balance,N,classifier,eer_mean,eer_sd,ci95_lo,ci95_hi,far_at_frr,frr_at_far,n_subjects
random,balanced,10,Linear SVM,14.658039215686275,7.1463033855575535,12.648108999830718,16.667969431541835,60.81568627450981,81.96470588235294,51
random,balanced,10,Threshold,15.564705882352941,6.484712592842083,13.740851075428111,17.38856068927777,82.29960784313724,40.49019607843136,51
random,balanced,10,k-NN,18.607473564730434,7.116116405144315,16.60603357393034,20.608913555530528,81.62823529411764,96.86666666666667,51
random,balanced,10,MLP,27.3435294117647,10.30675173340843,24.44470877420749,30.24235004932192,81.6956862745098,89.71372549019608,51
random,balanced,10,LDA,28.30456246822971,6.63889531337979,26.437343072362598,30.171781864096825,87.73960784313726,99.99607843137255,51
random,balanced,50,Linear SVM,9.208627450980392,4.700511044389893,7.886587415963757,10.530667485997029,53.00235294117647,67.61960784313726,51
random,balanced,50,LDA,10.295686274509801,4.909856720883803,8.91476681917718,11.67660572984243,54.92235294117647,74.69019607843138,51
random,balanced,50,k-NN,10.515288683058195,4.437364703138281,9.267259749157468,11.763317616958922,65.76156862745098,94.47450980392156,51
random,balanced,50,MLP,13.549803921568627,5.69414488407033,11.948299865767982,15.151307977369271,62.00313725490195,73.59607843137255,51
random,balanced,50,Threshold,13.783529411764706,6.3944885091864565,11.985050537284025,15.582008286245383,78.22588235294118,37.745098039215684,51
random,balanced,200,k-NN,6.616717730402315,2.9958182679397023,5.774130264816526,7.459305195988099,49.0243137254902,85.14117647058825,51
random,balanced,200,Linear SVM,7.196078431372547,4.151161802884283,6.028545360304705,8.363611502440394,40.51450980392158,53.51764705882353,51
random,balanced,200,LDA,7.743529411764706,4.227431761024374,6.554545069297215,8.932513754232199,37.74901960784314,57.243137254901946,51
random,balanced,200,MLP,7.770196078431373,3.1669881529276847,6.87946630691198,8.660925849950763,42.40627450980393,51.22745098039216,51
random,balanced,200,Threshold,13.370196078431373,6.417410533913527,11.56527028060839,15.175121876254353,74.42509803921568,37.64705882352941,51
