N,classifier,subject,selected_params,tune_ms,fit_ms,bundle_kb,warmup_queries,timed_queries,pre_mean_ms,pre_sd_ms,pre_p50_ms,pre_p95_ms,pre_p99_ms,pre_max_ms,pre_n_queries,model_mean_ms,model_sd_ms,model_p50_ms,model_p95_ms,model_p99_ms,model_max_ms,model_n_queries,e2e_mean_ms,e2e_sd_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_max_ms,e2e_n_queries
10,k-NN,s002,"{""k"": 3}",41.78125,0.285416,29.142578125,100,1000,0.083276638,0.0390180653812699,0.065,0.17392115,0.21603499999999998,0.287666,1000,0.26575271199999995,0.14279296516532514,0.2371045,0.5131514499999998,0.6721696699999998,1.545083,1000,0.346278154,0.15989107793743926,0.31395799999999996,0.6426729,0.80507851,1.963417,1000
10,k-NN,s003,"{""k"": 7}",3.486,0.228834,29.142578125,100,1000,0.07957185100000001,0.03724993843425993,0.063917,0.17323509999999998,0.21999065999999995,0.269417,1000,0.25979315,0.14653008121346936,0.229708,0.53103335,0.8305969899999994,1.278917,1000,0.35158607099999994,0.26796185722764876,0.301083,0.6887276999999998,1.0363362499999995,6.59425,1000
10,k-NN,s004,"{""k"": 1}",4.242041,0.265083,29.142578125,100,1000,0.07414535600000001,0.02888904723772606,0.0632915,0.14475415,0.19070073999999998,0.247,1000,0.206450933,0.0878068197342801,0.1496455,0.39163715,0.49341092,0.615125,1000,0.28167384700000003,0.1081233140635528,0.21447850000000002,0.5273393000000001,0.6439002399999999,0.73525,1000
10,k-NN,s005,"{""k"": 5}",4.743458,0.263334,29.142578125,100,1000,0.075376385,0.03162994393495036,0.063375,0.1599729499999999,0.19338417,0.255417,1000,0.214073472,0.09897187713400532,0.15660449999999998,0.42253479999999993,0.575162,0.921542,1000,0.289627914,0.11994487891516077,0.2206455,0.5476702,0.7302742499999999,1.073208,1000
10,k-NN,s007,"{""k"": 3}",4.237,0.255042,29.142578125,100,1000,0.08063454,0.0345560885887705,0.064,0.15955974999999997,0.19123190999999998,0.239833,1000,0.24409649100000003,0.1302703362489417,0.216208,0.47858894999999996,0.6677806599999998,1.504541,1000,0.32446663000000003,0.1558585917646633,0.28125,0.6421312499999999,0.8256879999999999,1.516375,1000
10,k-NN,s008,"{""k"": 5}",5.016458,0.238334,29.142578125,100,1000,0.07506305299999999,0.03132428133782996,0.063625,0.15518269999999998,0.19773690999999996,0.251666,1000,0.21579067,0.09093836009625474,0.15877049999999998,0.41579854999999993,0.5069287499999999,0.620334,1000,0.28919176900000004,0.11145656680974277,0.22399999999999998,0.5371663499999999,0.67280875,0.954667,1000
10,k-NN,s010,"{""k"": 3}",4.00825,0.400458,29.142578125,100,1000,0.07481319400000001,0.027424138982131696,0.0634585,0.13769644999999991,0.18156198999999998,0.218167,1000,0.197710152,0.07628226150971097,0.152146,0.3636788499999999,0.45662550999999996,0.685584,1000,0.270664688,0.09683445994189721,0.2144165,0.48153539999999995,0.61829226,0.992375,1000
10,k-NN,s011,"{""k"": 5}",3.451375,0.222875,29.142578125,100,1000,0.075817914,0.030625329015896888,0.063292,0.1500055999999999,0.19007350999999995,0.2495,1000,0.22988993600000002,0.13907838551161866,0.15739599999999998,0.4509934,0.6559541699999996,2.361708,1000,0.30224593299999997,0.14249474247186325,0.21983350000000002,0.5806773999999997,0.7584146699999998,1.633792,1000
10,k-NN,s012,"{""k"": 1}",3.557791,0.225041,29.142578125,100,1000,0.076165988,0.0311513537966365,0.063542,0.15300624999999998,0.1900855,0.240083,1000,0.218010576,0.10401325589904849,0.15552100000000002,0.4351957999999999,0.5434955099999998,0.784542,1000,0.29688781099999995,0.12849365394832646,0.22864600000000002,0.5826270499999999,0.7068755899999999,0.976166,1000
10,k-NN,s013,"{""k"": 5}",3.399333,0.223792,29.142578125,100,1000,0.07687475,0.03360735081055934,0.063792,0.15871844999999998,0.20626716999999994,0.300542,1000,0.23425927000000002,0.10226644132327098,0.19079200000000002,0.4537410499999999,0.5292494999999999,0.649708,1000,0.30679692399999997,0.12266708344017944,0.2547295,0.5697687499999999,0.72965792,1.15425,1000
10,k-NN,s015,"{""k"": 7}",3.765541,0.225083,29.142578125,100,1000,0.08104636999999999,0.029212356264834982,0.064458,0.1360441,0.17517433999999998,0.239667,1000,0.289784588,0.07933224740230266,0.267625,0.4351271,0.51296009,0.61025,1000,0.37133315699999997,0.10122517726678004,0.3352495,0.5529672999999999,0.62804434,0.786,1000
10,k-NN,s016,"{""k"": 5}",3.405375,0.224833,29.142578125,100,1000,0.070612355,0.023566634017778247,0.06268699999999999,0.11651249999999999,0.17258157999999996,0.205,1000,0.191840229,0.06670807567272884,0.15525,0.32398574999999985,0.43896115999999996,0.520291,1000,0.262577049,0.07958563312029222,0.218146,0.43253125,0.569509,0.631959,1000
10,k-NN,s017,"{""k"": 5}",3.390292,0.222542,29.142578125,100,1000,0.06983911599999999,0.02407412746206191,0.0625625,0.11325625,0.18620884000000001,0.222166,1000,0.185784037,0.06269781591321917,0.1542705,0.32687674999999994,0.40911657999999995,0.505792,1000,0.253750594,0.07645427661918283,0.216625,0.40742704999999996,0.5303825,0.710791,1000
10,k-NN,s018,"{""k"": 5}",3.38125,0.220833,29.142578125,100,1000,0.081422694,0.03518279759343854,0.064833,0.16357289999999994,0.20141791999999997,0.244666,1000,0.250556062,0.12429080081666463,0.2321875,0.4430517499999999,0.5665709999999999,1.817875,1000,0.333812145,0.13890613932404097,0.3081665,0.5878958499999999,0.7319078299999997,1.904666,1000
10,k-NN,s019,"{""k"": 1}",3.643042,0.222,29.142578125,100,1000,0.076106166,0.030522000529597873,0.0637085,0.15180654999999998,0.19084199999999996,0.23175,1000,0.214464979,0.09402472330483674,0.1796245,0.3849558999999998,0.49717283,1.179833,1000,0.289854284,0.1115607865089963,0.2407705,0.51329165,0.63964092,1.030625,1000
10,k-NN,s020,"{""k"": 7}",4.109416,0.236041,29.142578125,100,1000,0.076397145,0.029360204717423618,0.064125,0.15176664999999998,0.18525833,0.221834,1000,0.225783456,0.08334421516666776,0.21450000000000002,0.3939106999999999,0.49392699,0.615791,1000,0.30277050099999997,0.10266552245302486,0.28118750000000003,0.5175941,0.6213925,0.735041,1000
10,k-NN,s021,"{""k"": 3}",3.781917,0.40925,29.142578125,100,1000,0.071589356,0.023345923863842277,0.06364600000000001,0.12268989999999998,0.17054766999999998,0.220583,1000,0.18868062500000002,0.076518918306136,0.150771,0.3622875,0.4479279199999998,0.68075,1000,0.25991560500000005,0.09273476766561164,0.2131665,0.4400868499999998,0.58363833,0.98175,1000
10,k-NN,s022,"{""k"": 3}",3.385875,0.220584,29.142578125,100,1000,0.07373289599999999,0.027831173187528015,0.063375,0.13923779999999994,0.18438125,0.262208,1000,0.213149852,0.11313191279498791,0.152833,0.41305655,0.55892208,1.82,1000,0.283369983,0.1190610894267737,0.2155205,0.5446603999999998,0.66791117,1.222333,1000
10,k-NN,s024,"{""k"": 3}",4.232083,0.223917,29.142578125,100,1000,0.07277906199999999,0.025144072668255284,0.063334,0.12911009999999998,0.17234466999999998,0.25,1000,0.19469647200000004,0.07439848379769988,0.1513335,0.36706874999999994,0.42262841999999995,0.54525,1000,0.26575849500000004,0.09280879506428935,0.2136045,0.46551279999999995,0.6003824999999999,0.661208,1000
10,k-NN,s025,"{""k"": 1}",4.67425,0.234041,29.142578125,100,1000,0.06988755,0.021953754230616646,0.06125,0.1147604,0.16055740999999998,0.24575,1000,0.17597390000000002,0.06445452920190045,0.144625,0.32649614999999993,0.41038333,0.572167,1000,0.24679643199999998,0.07973337824651593,0.20693699999999998,0.4255318999999999,0.52584816,0.665625,1000
10,k-NN,s026,"{""k"": 5}",4.750792,0.252042,29.142578125,100,1000,0.07471431999999999,0.028837588329683052,0.063708,0.14697469999999999,0.19025542,0.22325,1000,0.216552848,0.2369645111451061,0.156583,0.39544825,0.4977428299999998,6.579292,1000,0.29562935100000004,0.38568473472105763,0.218083,0.5154472999999999,0.6501780099999999,11.646792,1000
10,k-NN,s027,"{""k"": 3}",6.137833,0.267625,29.142578125,100,1000,0.077222762,0.031506383518833,0.06475,0.14791454999999998,0.1930275,0.338833,1000,0.234806661,0.11193086122908893,0.1947915,0.43110384999999996,0.5725113399999998,1.092166,1000,0.30889929,0.1263385578635792,0.254104,0.54244165,0.6643201799999999,1.429166,1000
10,k-NN,s028,"{""k"": 3}",3.411458,0.223417,29.142578125,100,1000,0.074509119,0.027164267274590793,0.064208,0.1401166499999999,0.18216783,0.230042,1000,0.196830023,0.07282608528127725,0.152396,0.34918365,0.41790625,0.502,1000,0.273734924,0.09400560250377805,0.21537499999999998,0.47294374999999994,0.55907059,0.649,1000
10,k-NN,s029,"{""k"": 3}",5.052916,0.237584,29.142578125,100,1000,0.07703270899999999,0.03009280189643858,0.064583,0.14375834999999998,0.19664023999999997,0.295541,1000,0.238814043,0.11229573258919012,0.21558300000000002,0.4466827,0.6081170799999995,0.88375,1000,0.317344324,0.12885827641941672,0.2910625,0.5675228999999998,0.7168684200000001,1.253959,1000
10,k-NN,s030,"{""k"": 1}",3.588917,0.223458,29.142578125,100,1000,0.07162284599999999,0.025261382557591836,0.0634585,0.12623604999999996,0.17584758999999997,0.238292,1000,0.196672464,0.07787782881507196,0.1472295,0.37215414999999996,0.44022983,0.510292,1000,0.26777264,0.09893585071885654,0.208208,0.4885749999999999,0.60998283,0.723125,1000
10,k-NN,s031,"{""k"": 3}",3.400542,0.224167,29.142578125,100,1000,0.07209449700000001,0.02235506166410634,0.0639585,0.13035979999999991,0.16014916999999998,0.191959,1000,0.193411583,0.07146827653578969,0.151479,0.34601455,0.41408342,0.477917,1000,0.26594653,0.08904939388293454,0.2132705,0.47021184999999993,0.54204167,0.676625,1000
10,k-NN,s032,"{""k"": 5}",4.360833,0.219666,29.142578125,100,1000,0.070203375,0.02486618193282377,0.062834,0.1109652,0.17879184,0.256958,1000,0.189271433,0.06869591751139396,0.154396,0.33041905,0.44790167,0.591917,1000,0.260463815,0.08771702454086708,0.21708349999999998,0.4416857499999999,0.6101094899999999,0.753209,1000
10,k-NN,s033,"{""k"": 1}",3.4215,0.219375,29.142578125,100,1000,0.073576048,0.024583910138165112,0.064083,0.1285902,0.17766865999999998,0.227,1000,0.19214014100000004,0.07774265847982452,0.146125,0.3694708499999999,0.43816741,0.585875,1000,0.263331769,0.09143776264690377,0.208792,0.46100420000000003,0.54447717,0.782542,1000
10,k-NN,s034,"{""k"": 5}",3.610125,0.219875,29.142578125,100,1000,0.065989155,0.0174569539065861,0.060625,0.10394314999999997,0.15633384,0.244167,1000,0.167860945,0.04319915528583151,0.1524375,0.25908604999999996,0.34338292,0.541167,1000,0.23479432300000003,0.05430631905305093,0.215417,0.35121489999999994,0.46121966999999997,0.611292,1000
10,k-NN,s035,"{""k"": 3}",3.358708,0.223583,29.142578125,100,1000,0.071678507,0.023675096154902833,0.063291,0.11562705000000001,0.17055141999999998,0.227458,1000,0.197116571,0.08461024430003419,0.15031250000000002,0.37313089999999993,0.4513474999999998,0.848416,1000,0.269886934,0.11056374571854446,0.212458,0.46599789999999985,0.6199033299999999,1.78975,1000
10,k-NN,s036,"{""k"": 3}",3.361625,0.218959,29.142578125,100,1000,0.06684999300000001,0.020605930795742033,0.060167,0.10502084999999997,0.16909759,0.223708,1000,0.16992329999999997,0.0584031353464032,0.1477295,0.2787163499999999,0.42777357999999993,0.570833,1000,0.238847365,0.0743570275531662,0.2103545,0.37791874999999975,0.5784440799999999,0.734708,1000
