N,classifier,subject,selected_params
10,k-NN,s002,"{""k"": 3}"
10,k-NN,s003,"{""k"": 7}"
10,k-NN,s004,"{""k"": 1}"
10,k-NN,s005,"{""k"": 5}"
10,k-NN,s007,"{""k"": 3}"
10,k-NN,s008,"{""k"": 5}"
10,k-NN,s010,"{""k"": 3}"
10,k-NN,s011,"{""k"": 5}"
10,k-NN,s012,"{""k"": 1}"
10,k-NN,s013,"{""k"": 5}"
10,k-NN,s015,"{""k"": 7}"
10,k-NN,s016,"{""k"": 5}"
10,k-NN,s017,"{""k"": 5}"
10,k-NN,s018,"{""k"": 5}"
10,k-NN,s019,"{""k"": 1}"
10,k-NN,s020,"{""k"": 7}"
10,k-NN,s021,"{""k"": 3}"
10,k-NN,s022,"{""k"": 3}"
10,k-NN,s024,"{""k"": 3}"
10,k-NN,s025,"{""k"": 1}"
10,k-NN,s026,"{""k"": 5}"
10,k-NN,s027,"{""k"": 3}"
10,k-NN,s028,"{""k"": 3}"
10,k-NN,s029,"{""k"": 3}"
10,k-NN,s030,"{""k"": 1}"
10,k-NN,s031,"{""k"": 3}"
10,k-NN,s032,"{""k"": 5}"
10,k-NN,s033,"{""k"": 1}"
10,k-NN,s034,"{""k"": 5}"
10,k-NN,s035,"{""k"": 3}"
10,k-NN,s036,"{""k"": 3}"
10,k-NN,s037,"{""k"": 7}"
10,k-NN,s038,"{""k"": 5}"
10,k-NN,s039,"{""k"": 5}"
10,k-NN,s040,"{""k"": 5}"
10,k-NN,s041,"{""k"": 3}"
10,k-NN,s042,"{""k"": 1}"
10,k-NN,s043,"{""k"": 1}"
10,k-NN,s044,"{""k"": 3}"
10,k-NN,s046,"{""k"": 5}"
10,k-NN,s047,"{""k"": 3}"
10,k-NN,s048,"{""k"": 3}"
10,k-NN,s049,"{""k"": 3}"
10,k-NN,s050,"{""k"": 5}"
10,k-NN,s051,"{""k"": 7}"
10,k-NN,s052,"{""k"": 1}"
10,k-NN,s053,"{""k"": 3}"
10,k-NN,s054,"{""k"": 5}"
10,k-NN,s055,"{""k"": 1}"
10,k-NN,s056,"{""k"": 3}"
10,k-NN,s057,"{""k"": 3}"
10,LDA,s002,{}
10,LDA,s003,{}
10,LDA,s004,{}
10,LDA,s005,{}
10,LDA,s007,{}
10,LDA,s008,{}
10,LDA,s010,{}
10,LDA,s011,{}
10,LDA,s012,{}
10,LDA,s013,{}
10,LDA,s015,{}
10,LDA,s016,{}
10,LDA,s017,{}
10,LDA,s018,{}
10,LDA,s019,{}
10,LDA,s020,{}
10,LDA,s021,{}
10,LDA,s022,{}
10,LDA,s024,{}
10,LDA,s025,{}
10,LDA,s026,{}
10,LDA,s027,{}
10,LDA,s028,{}
10,LDA,s029,{}
10,LDA,s030,{}
10,LDA,s031,{}
10,LDA,s032,{}
10,LDA,s033,{}
10,LDA,s034,{}
10,LDA,s035,{}
10,LDA,s036,{}
10,LDA,s037,{}
10,LDA,s038,{}
10,LDA,s039,{}
10,LDA,s040,{}
10,LDA,s041,{}
10,LDA,s042,{}
10,LDA,s043,{}
10,LDA,s044,{}
10,LDA,s046,{}
10,LDA,s047,{}
10,LDA,s048,{}
10,LDA,s049,{}
10,LDA,s050,{}
10,LDA,s051,{}
10,LDA,s052,{}
10,LDA,s053,{}
10,LDA,s054,{}
10,LDA,s055,{}
10,LDA,s056,{}
10,LDA,s057,{}
10,Threshold,s002,{}
10,Threshold,s003,{}
10,Threshold,s004,{}
10,Threshold,s005,{}
10,Threshold,s007,{}
10,Threshold,s008,{}
10,Threshold,s010,{}
10,Threshold,s011,{}
10,Threshold,s012,{}
10,Threshold,s013,{}
10,Threshold,s015,{}
10,Threshold,s016,{}
10,Threshold,s017,{}
10,Threshold,s018,{}
10,Threshold,s019,{}
10,Threshold,s020,{}
10,Threshold,s021,{}
10,Threshold,s022,{}
10,Threshold,s024,{}
10,Threshold,s025,{}
10,Threshold,s026,{}
10,Threshold,s027,{}
10,Threshold,s028,{}
10,Threshold,s029,{}
10,Threshold,s030,{}
10,Threshold,s031,{}
10,Threshold,s032,{}
10,Threshold,s033,{}
10,Threshold,s034,{}
10,Threshold,s035,{}
10,Threshold,s036,{}
10,Threshold,s037,{}
10,Threshold,s038,{}
10,Threshold,s039,{}
10,Threshold,s040,{}
10,Threshold,s041,{}
10,Threshold,s042,{}
10,Threshold,s043,{}
10,Threshold,s044,{}
10,Threshold,s046,{}
10,Threshold,s047,{}
10,Threshold,s048,{}
10,Threshold,s049,{}
10,Threshold,s050,{}
10,Threshold,s051,{}
10,Threshold,s052,{}
10,Threshold,s053,{}
10,Threshold,s054,{}
10,Threshold,s055,{}
10,Threshold,s056,{}
10,Threshold,s057,{}
10,Linear SVM,s002,"{""C"": 0.1}"
10,Linear SVM,s003,"{""C"": 0.01}"
10,Linear SVM,s004,"{""C"": 1}"
10,Linear SVM,s005,"{""C"": 0.01}"
10,Linear SVM,s007,"{""C"": 0.01}"
10,Linear SVM,s008,"{""C"": 0.1}"
10,Linear SVM,s010,"{""C"": 0.1}"
10,Linear SVM,s011,"{""C"": 0.01}"
10,Linear SVM,s012,"{""C"": 0.1}"
10,Linear SVM,s013,"{""C"": 0.1}"
10,Linear SVM,s015,"{""C"": 0.01}"
10,Linear SVM,s016,"{""C"": 0.01}"
10,Linear SVM,s017,"{""C"": 0.1}"
10,Linear SVM,s018,"{""C"": 0.01}"
10,Linear SVM,s019,"{""C"": 0.01}"
10,Linear SVM,s020,"{""C"": 1}"
10,Linear SVM,s021,"{""C"": 0.01}"
10,Linear SVM,s022,"{""C"": 0.1}"
10,Linear SVM,s024,"{""C"": 1}"
10,Linear SVM,s025,"{""C"": 0.01}"
10,Linear SVM,s026,"{""C"": 0.01}"
10,Linear SVM,s027,"{""C"": 100}"
10,Linear SVM,s028,"{""C"": 1}"
10,Linear SVM,s029,"{""C"": 10}"
10,Linear SVM,s030,"{""C"": 0.01}"
10,Linear SVM,s031,"{""C"": 0.1}"
10,Linear SVM,s032,"{""C"": 0.01}"
10,Linear SVM,s033,"{""C"": 0.01}"
10,Linear SVM,s034,"{""C"": 1}"
10,Linear SVM,s035,"{""C"": 0.1}"
10,Linear SVM,s036,"{""C"": 0.01}"
10,Linear SVM,s037,"{""C"": 0.01}"
10,Linear SVM,s038,"{""C"": 0.1}"
10,Linear SVM,s039,"{""C"": 0.01}"
10,Linear SVM,s040,"{""C"": 1}"
10,Linear SVM,s041,"{""C"": 0.01}"
10,Linear SVM,s042,"{""C"": 0.01}"
10,Linear SVM,s043,"{""C"": 0.1}"
10,Linear SVM,s044,"{""C"": 0.01}"
10,Linear SVM,s046,"{""C"": 0.1}"
10,Linear SVM,s047,"{""C"": 0.01}"
10,Linear SVM,s048,"{""C"": 1}"
10,Linear SVM,s049,"{""C"": 100}"
10,Linear SVM,s050,"{""C"": 100}"
10,Linear SVM,s051,"{""C"": 0.01}"
10,Linear SVM,s052,"{""C"": 0.01}"
10,Linear SVM,s053,"{""C"": 0.01}"
10,Linear SVM,s054,"{""C"": 0.1}"
10,Linear SVM,s055,"{""C"": 0.01}"
10,Linear SVM,s056,"{""C"": 0.01}"
10,Linear SVM,s057,"{""C"": 0.01}"
10,MLP,s002,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s003,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s004,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s005,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s007,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s008,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s010,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s011,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s012,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s013,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s015,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s016,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s017,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s018,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s019,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s020,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s021,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s022,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s024,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s025,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s026,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s027,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s028,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s029,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s030,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s031,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s032,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s033,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s034,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s035,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s036,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s037,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s038,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s039,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s040,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s041,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s042,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s043,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s044,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s046,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s047,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s048,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s049,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s050,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s051,"{""alpha"": 0.0001, ""h"": 64}"
10,MLP,s052,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s053,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s054,"{""alpha"": 0.0001, ""h"": 128}"
10,MLP,s055,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s056,"{""alpha"": 0.0001, ""h"": 32}"
10,MLP,s057,"{""alpha"": 0.0001, ""h"": 64}"
50,k-NN,s002,"{""k"": 7}"
50,k-NN,s003,"{""k"": 7}"
50,k-NN,s004,"{""k"": 3}"
50,k-NN,s005,"{""k"": 7}"
50,k-NN,s007,"{""k"": 7}"
50,k-NN,s008,"{""k"": 3}"
50,k-NN,s010,"{""k"": 5}"
