classifier,pca_components,mean_eer_pct,ci95_low_pct,ci95_high_pct,n_subjects
LDA,10,5.279487179487179,3.1436315211584716,7.415342837815887,40
LDA,20,2.68974358974359,1.5615285762581146,3.8179586032290653,40
LDA,40,1.5910256410256411,0.7523288726537466,2.429722409397536,40
LDA,80,1.1525641025641025,0.4432100613330514,1.8619181437951535,40
LDA,150,1.4336443897333253,0.6095893692140438,2.2576994102526067,40
k-NN,10,5.149372963487127,3.267555245975002,7.031190680999252,40
k-NN,20,3.9210728071569023,2.2316091981780044,5.6105364161358,40
k-NN,40,3.0278423940258095,1.5844672175487762,4.4712175705028425,40
k-NN,80,2.960588242388373,1.5306945025761907,4.390481982200555,40
k-NN,150,2.96882917311189,1.4845881540015275,4.453070192222253,40
