subject,classifier,representation,eer_pct,split_sd_pct,n_splits,n_genuine_test,n_impostor_test
1,LDA,PCA-40,4.0,6.6196015623877145,10,5,195
1,LDA,Raw,4.410256410256411,5.5978664940160225,10,5,195
1,k-NN,PCA-40,5.591642218636146,9.416463232841789,10,5,195
1,k-NN,Raw,7.526075481515508,7.941913934335071,10,5,195
2,LDA,PCA-40,0.0,0.0,10,5,195
2,LDA,Raw,0.0,0.0,10,5,195
2,k-NN,PCA-40,0.0,0.0,10,5,195
2,k-NN,Raw,0.0,0.0,10,5,195
3,LDA,PCA-40,0.1025641025641025,0.3243361702736798,10,5,195
3,LDA,Raw,0.0,0.0,10,5,195
3,k-NN,PCA-40,4.447088059130878,6.893851068312059,10,5,195
3,k-NN,Raw,5.7265979613487366,7.8514125494719655,10,5,195
4,LDA,PCA-40,0.35897435897435903,0.8036006340884211,10,5,195
4,LDA,Raw,0.2564102564102565,0.4983719568243848,10,5,195
4,k-NN,PCA-40,3.8805013988459516,7.080036372713965,10,5,195
4,k-NN,Raw,1.0163752496978962,1.3455904114409625,10,5,195
5,LDA,PCA-40,1.8974358974358974,2.094278720792038,10,5,195
5,LDA,Raw,2.153846153846154,1.9309430764366413,10,5,195
5,k-NN,PCA-40,6.583199041709591,7.430718857463198,10,5,195
5,k-NN,Raw,2.8091780196187326,1.3984770328164835,10,5,195
6,LDA,PCA-40,0.0,0.0,10,5,195
6,LDA,Raw,0.0,0.0,10,5,195
6,k-NN,PCA-40,0.0,0.0,10,5,195
6,k-NN,Raw,0.0,0.0,10,5,195
7,LDA,PCA-40,0.0,0.0,10,5,195
7,LDA,Raw,0.05128205128205132,0.16216808513684008,10,5,195
7,k-NN,PCA-40,0.10204081632653013,0.21512092926315401,10,5,195
7,k-NN,Raw,0.10102040816326507,0.21298330040427788,10,5,195
8,LDA,PCA-40,0.0,0.0,10,5,195
8,LDA,Raw,0.0,0.0,10,5,195
8,k-NN,PCA-40,0.0,0.0,10,5,195
8,k-NN,Raw,0.0,0.0,10,5,195
9,LDA,PCA-40,0.4615384615384615,0.8180161445473776,10,5,195
9,LDA,Raw,0.2564102564102565,0.3626188621469474,10,5,195
9,k-NN,PCA-40,2.123139259480148,5.229456308451175,10,5,195
9,k-NN,Raw,2.344021495745633,5.143931131887771,10,5,195
10,LDA,PCA-40,0.05128205128205132,0.16216808513684008,10,5,195
10,LDA,Raw,0.0,0.0,10,5,195
10,k-NN,PCA-40,8.333333333333332,8.78410461157883,10,5,195
10,k-NN,Raw,8.333333333333332,8.78410461157883,10,5,195
11,LDA,PCA-40,0.0,0.0,10,5,195
11,LDA,Raw,0.05128205128205132,0.16216808513684008,10,5,195
11,k-NN,PCA-40,0.050000000000000024,0.15811388300841903,10,5,195
11,k-NN,Raw,0.0,0.0,10,5,195
12,LDA,PCA-40,0.0,0.0,10,5,195
12,LDA,Raw,0.0,0.0,10,5,195
12,k-NN,PCA-40,0.05128205128205132,0.16216808513684008,10,5,195
12,k-NN,Raw,0.050000000000000024,0.15811388300841903,10,5,195
13,LDA,PCA-40,0.10256410256410264,0.2162241135157868,10,5,195
13,LDA,Raw,0.20512820512820515,0.35856712757953896,10,5,195
13,k-NN,PCA-40,0.050000000000000024,0.15811388300841903,10,5,195
13,k-NN,Raw,0.050000000000000024,0.15811388300841903,10,5,195
14,LDA,PCA-40,0.0,0.0,10,5,195
14,LDA,Raw,0.05128205128205132,0.16216808513684008,10,5,195
14,k-NN,PCA-40,0.0,0.0,10,5,195
14,k-NN,Raw,0.0,0.0,10,5,195
15,LDA,PCA-40,0.8205128205128205,1.4544989665765913,10,5,195
15,LDA,Raw,0.2564102564102565,0.36261886214694744,10,5,195
15,k-NN,PCA-40,0.8072073157815947,0.5365138277884446,10,5,195
15,k-NN,Raw,0.9489230253930139,0.6749005667811943,10,5,195
16,LDA,PCA-40,0.2564102564102565,0.6509207782789667,10,5,195
16,LDA,Raw,0.6666666666666667,1.431209277875862,10,5,195
16,k-NN,PCA-40,3.58400061882906,8.90322930570353,10,5,195
16,k-NN,Raw,2.3395547596773185,5.126352949860134,10,5,195
17,LDA,PCA-40,0.6153846153846154,1.2973446810947198,10,5,195
17,LDA,Raw,1.076923076923077,3.4055297878736397,10,5,195
17,k-NN,PCA-40,9.029014383389718,13.855745276266418,10,5,195
17,k-NN,Raw,5.8200213698819825,7.666092092469598,10,5,195
18,LDA,PCA-40,0.3589743589743589,0.8391752279407573,10,5,195
18,LDA,Raw,0.2564102564102565,0.6509207782789665,10,5,195
18,k-NN,PCA-40,2.4489500927185546,5.219330197664129,10,5,195
18,k-NN,Raw,0.6932755237689421,1.0197587742717715,10,5,195
19,LDA,PCA-40,8.102564102564102,10.241584726524042,10,5,195
19,LDA,Raw,8.307692307692308,10.106598179343601,10,5,195
19,k-NN,PCA-40,3.6026076212771487,6.986472563371313,10,5,195
19,k-NN,Raw,1.0609382865196817,1.1638814804619635,10,5,195
20,LDA,PCA-40,0.8717948717948719,1.7272571732060347,10,5,195
20,LDA,Raw,1.7435897435897438,3.09774531010579,10,5,195
20,k-NN,PCA-40,1.6666666666666665,5.270462766947298,10,5,195
20,k-NN,Raw,0.0,0.0,10,5,195
21,LDA,PCA-40,0.0,0.0,10,5,195
21,LDA,Raw,0.0,0.0,10,5,195
21,k-NN,PCA-40,0.050000000000000024,0.15811388300841903,10,5,195
21,k-NN,Raw,0.050000000000000024,0.15811388300841903,10,5,195
22,LDA,PCA-40,0.8205128205128206,0.9730085108210396,10,5,195
